id	pays_id	annee	quantite_tep
224	9	2014	119.40799999999999
225	10	2014	573.622
226	11	2014	1058.236
227	12	2014	9808.213
228	13	2014	8577.69
229	14	2014	864.475
230	15	2014	10523.626
231	16	2014	27.25
232	17	2014	240.96400000000003
233	18	2014	189.12900000000002
234	19	2014	125.383
235	20	2014	270.972
236	21	2014	6.439
237	22	2014	1001.505
238	23	2014	4644.253
239	24	2014	1753.4920000000002
240	25	2014	2786.235
241	26	2014	2373.2
242	27	2014	592.044
243	28	2014	557.352
244	29	2014	2258.867
245	30	2014	7381.722
246	31	2014	5795.951
247	32	2014	1558.024
248	33	2014	11922.614
249	34	2014	150.615
250	35	2014	111.06299999999999
251	36	2014	406.22900000000004
252	37	2014	1001.29
253	38	2014	4525.253
254	39	2014	510.31800000000004
255	40	2014	13.015
256	41	2014	6.404
257	42	2014	946.7410000000001
258	43	2014	716.71
259	1	2015	75990.53
260	2	2015	83326.36200000001
261	3	2015	58598.098
262	4	2015	1342.339
263	5	2015	795.487
264	6	2015	919.7189999999999
265	7	2015	1628.293
266	8	2015	16741.702
267	9	2015	129.114
268	10	2015	700.7389999999999
269	11	2015	1281.376
270	12	2015	8625.649
271	13	2015	8322.338
272	14	2015	659.878
273	15	2015	9487.207
274	16	2015	34.372
275	17	2015	238.798
276	18	2015	202.44400000000002
277	19	2015	160.11700000000002
278	20	2015	277.66700000000003
279	21	2015	8.744
280	22	2015	1176.6960000000001
281	23	2015	4386.648
282	24	2015	2002.3270000000002
283	25	2015	2193.535
284	26	2015	2285.007
285	27	2015	398.806
286	28	2015	542.648
287	29	2015	2624.8259999999996
288	30	2015	8824.054
289	31	2015	7335.831999999999
290	32	2015	1616.05
291	33	2015	12142.82
292	34	2015	128.203
293	35	2015	174.44400000000002
294	36	2015	506.879
295	37	2015	930.095
296	38	2015	7193.311
297	39	2015	477.3
298	40	2015	12.062000000000001
299	41	2015	5.8389999999999995
300	42	2015	746.0360000000001
301	43	2015	726.893
302	1	2016	77295.62299999999
303	2	2016	84567.11300000001
304	3	2016	61083.46
305	4	2016	1330.344
306	5	2016	664.8939999999999
307	6	2016	910.2130000000001
308	7	2016	1581.2579999999998
309	8	2016	16789.338
310	9	2016	131.013
311	10	2016	671.143
312	11	2016	1282.454
313	12	2016	9295.161
314	13	2016	8930.284
315	14	2016	736.785
316	15	2016	9445.146999999999
317	16	2016	36.514
318	17	2016	299.363
319	18	2016	230.898
320	19	2016	160.786
321	20	2016	280.149
322	21	2016	11.715
323	22	2016	1270.585
324	23	2016	4653.458
325	24	2016	2002.545
326	25	2016	2880.145
327	26	2016	2362.575
328	27	2016	458.92400000000004
329	28	2016	591.23
330	29	2016	2614.958
331	30	2016	7673.744000000001
332	31	2016	7271.49
333	32	2016	1594.6760000000002
334	33	2016	12533.62
335	34	2016	158.486
336	35	2016	177.692
337	36	2016	669.1060000000001
338	37	2016	996.7330000000001
339	38	2016	7759.618
340	39	2016	487.069
341	40	2016	21.11
342	41	2016	4.971
343	42	2016	935.8639999999999
344	43	2016	802.944
345	1	2017	77694.057
346	2	2017	86284.8
347	3	2017	60968.477
348	4	2017	1461.35
349	5	2017	584.347
350	6	2017	927.885
351	7	2017	1875.5810000000001
352	8	2017	19116.767
353	9	2017	154.875
354	10	2017	780.98
355	11	2017	1193.319
356	12	2017	7796.389
357	13	2017	8405.001
358	14	2017	629.063
359	15	2017	9090.595
360	16	2017	37.421
361	17	2017	469.62199999999996
362	18	2017	268.007
363	19	2017	166.52700000000002
364	20	2017	299.39799999999997
365	21	2017	14.790999999999999
366	22	2017	1499.269
367	23	2017	4723.709
368	24	2017	2114.9139999999998
369	25	2017	2090.1020000000003
370	26	2017	2118.726
371	27	2017	405.88300000000004
372	28	2017	587.36
373	29	2017	2706.51
374	30	2017	8175.666
375	31	2017	8590.743
376	32	2017	1654.037
377	33	2017	12573.087
378	34	2017	96.38
379	35	2017	111.441
380	36	2017	389.181
381	37	2017	850.28
382	38	2017	7500.897
383	39	2017	345.142
384	40	2017	15.495
385	41	2017	6.879
386	42	2017	1070.61
387	43	2017	799.5010000000001
388	1	2018	83301.821
389	2	2018	92814.19900000001
