id	pays_id	annee	population
263	5	1966	8230788
264	6	1966	9802287
265	7	1966	4777015
266	8	1966	59296591
267	9	1966	1302870
268	10	1966	2881800
269	11	1966	8575642
270	12	1966	32132264
271	13	1966	0
272	14	1966	4295665
273	15	1966	52317900
274	16	1966	593200
275	17	1966	2276789
276	18	1966	2989300
277	19	1966	333000
278	20	1966	10160380
279	21	1966	317000
280	22	1966	12377194
281	23	1966	7293973
282	24	1966	31551000
283	25	1966	8968440
284	26	1966	19083400
285	27	1966	1660092
286	28	1966	4391768
287	29	1966	4569896
288	30	1966	7772506
289	31	1966	54496100
290	32	1966	193919
291	33	1966	3737726
292	34	1966	0
293	35	1966	1512988
294	36	1966	1889715
295	37	1966	0
296	38	1966	31499416
297	39	1966	3627922
298	40	1966	1088000
299	41	1966	0
300	42	1966	0
301	43	1966	0
302	1	1967	376321214
303	2	1967	431122114
304	3	1967	279854101
305	4	1967	9556380
306	5	1967	8285325
307	6	1967	9839792
308	7	1967	4817746
309	8	1967	59792934
310	9	1967	1314323
311	10	1967	2895800
312	11	1967	8651660
313	12	1967	32434123
314	13	1967	0
315	14	1967	4325736
316	15	1967	52720100
317	16	1967	597100
318	17	1967	2289645
319	18	1967	3026800
320	19	1967	334790
321	20	1967	10196926
322	21	1967	313400
323	22	1967	12535307
324	23	1967	7350159
325	24	1967	31811000
326	25	1967	8893540
327	26	1967	19347500
328	27	1967	1679717
329	28	1967	4431564
330	29	1967	4591842
331	30	1967	7843088
332	31	1967	54800900
333	32	1967	197221
334	33	1967	3768298
335	34	1967	0
336	35	1967	1538694
337	36	1967	1939430
338	37	1967	0
339	38	1967	32273630
340	39	1967	3700916
341	40	1967	1116000
342	41	1967	0
343	42	1967	0
344	43	1967	0
345	1	1968	379076041
346	2	1968	434162341
347	3	1968	281656968
348	4	1968	9605601
349	5	1968	8335126
350	6	1968	9866006
351	7	1968	4852962
352	8	1968	59948474
353	9	1968	1323569
354	10	1968	2909100
355	11	1968	8716516
356	12	1968	32931771
357	13	1968	0
358	14	1968	4351629
359	15	1968	53080900
360	16	1968	601800
361	17	1968	2312795
362	18	1968	3062000
363	19	1968	335200
364	20	1968	10236282
365	21	1968	309700
366	22	1968	12661095
367	23	1968	7403837
368	24	1968	32163310
369	25	1968	8855500
370	26	1968	19720984
371	27	1968	1699339
372	28	1968	4467170
373	29	1968	4619645
374	30	1968	7892774
375	31	1968	55086300
376	32	1968	200281
377	33	1968	3800780
378	34	1968	0
379	35	1968	1562211
380	36	1968	1991765
381	37	1968	0
382	38	1968	33093700
383	39	1968	3767185
384	40	1968	1145000
385	41	1968	0
386	42	1968	0
387	43	1968	0
388	1	1969	381626236
389	2	1969	436963336
390	3	1969	283567243
391	4	1969	9631910
392	5	1969	8404080
393	6	1969	9886686
394	7	1969	4876803
395	8	1969	60463033
396	9	1969	1338858
397	10	1969	2922000
398	11	1969	8765014
399	12	1969	33294497
