code	libelle
NRG_PR_E 	Secteur de l'énergie - raffineries de pétrole - usage énergétique
NRG_NI_E 	Secteur de l'énergie - industrie nucléaire - usage énergétique
NRG_CL_E 	Secteur de l'énergie - usines de liquéfaction du charbon - usage énergétique
NRG_LNG_E 	Secteur de l'énergie - usines de liquéfaction et regazéification (GNL) - usage énergétique
NRG_BIOG_E 	Secteur de l'énergie - usines de gazéification de biogaz - usage énergétique
NRG_GTL_E 	Secteur de l'énergie - usines de liquéfaction du gaz - usage énergétique
NRG_CPP_E 	Secteur de l'énergie - usines de production de charbon de bois - usage énergétique
NRG_NSP_E 	Secteur de l'énergie - non spécifié ailleurs - usage énergétique
DL 	Pertes de distribution
AFC 	Disponible pour la consommation finale
FC_NE 	Consommation finale - usage non-énergétique
TI_NRG_FC_IND_NE 	Entrées en transformation, secteur de l'énergie et consommation finale dans le secteur industriel - usage non-énergétique
TI_NE 	Entrées en transformation - usage non-énergétique
NRG_NE 	Secteur de l'énergie - usage non-énergétique
FC_IND_NE 	Consommation finale - secteur industriel - usage non-énergétique
FC_TRA_NE 	Consommation finale - secteur des transports - usage non-énergétique
FC_OTH_NE 	Consommation finale - autres secteurs - usage non-énergétique
FC_E 	Consommation finale - usage énergétique
FC_IND_E 	Consommation finale - secteur industriel - usage énergétique
FC_IND_IS_E 	Consommation finale - secteur industriel - sidérurgie - usage énergétique
FC_IND_CPC_E 	Consommation finale - secteur industriel - chimie et pétrochimie - usage énergétique
FC_IND_NFM_E 	Consommation finale - secteur industriel - métaux non-ferreux - usage énergétique
FC_IND_NMM_E 	Consommation finale - secteur industriel - minéraux non-métalliques - usage énergétique
FC_IND_TE_E 	Consommation finale - secteur industriel - matériel de transport - usage énergétique
FC_IND_MAC_E 	Consommation finale - secteur industriel - machines - usage énergétique
FC_IND_MQ_E 	Consommation finale - secteur industriel - industries extractives - usage énergétique
FC_IND_FBT_E 	Consommation finale - secteur industriel - produits alimentaires, boissons et tabac - usage énergétique
FC_IND_PPP_E 	Consommation finale - secteur industriel - papier, pâte à papier et imprimerie - usage énergétique
FC_IND_WP_E 	Consommation finale - secteur industriel - bois et produits en bois - usage énergétique
FC_IND_CON_E 	Consommation finale - secteur industriel - construction - usage énergétique
FC_IND_TL_E 	Consommation finale - secteur industriel - textiles et cuir - usage énergétique
FC_IND_NSP_E 	Consommation finale - secteur industriel - non spécifié ailleurs - usage énergétique
FC_TRA_E 	Consommation finale - secteur des transports - usage énergétique
FC_TRA_RAIL_E 	Consommation finale - secteur des transports - transport ferroviaire - usage énergétique
FC_TRA_ROAD_E 	Consommation finale - secteur des transports - transport routier - usage énergétique
FC_TRA_DAVI_E 	Consommation finale - secteur des transports - aviation intérieure - usage énergétique
FC_TRA_DNAVI_E 	Consommation finale - secteur des transports - navigation intérieure - usage énergétique
FC_TRA_PIPE_E 	Consommation finale - secteur des transports - transport par conduites - usage énergétique
FC_TRA_NSP_E 	Consommation finale - secteur des transports - non spécifié ailleurs - usage énergétique
FC_OTH_E 	Consommation finale - autres secteurs - usage énergétique
FC_OTH_CP_E 	Consommation finale - autres secteurs - commerce et services publics - usage énergétique
FC_OTH_HH_E 	Consommation finale - autres secteurs - ménages - usage énergétique
FC_OTH_AF_E 	Consommation finale - autres secteurs - agriculture et sylviculture - usage énergétique
FC_OTH_FISH_E 	Consommation finale - autres secteurs - pêche - usage énergétique
FC_OTH_NSP_E 	Consommation finale - autres secteurs - non spécifié ailleurs - usage énergétique
STATDIFF 	Écarts statistiques
GEP 	Production brute d'électricité
GEP_MAPE 	Production brute d'électricité - producteur dont l'activité principale est la production d'électricité uniquement
GEP_MAPCHP 	Production brute d'électricité - producteur dont l'activité principale est la cogénération de chaleur et d'électricité
GEP_APE 	Production brute d'électricité - autoproducteur d'électricité uniquement
GEP_APCHP 	Production brute d'électricité - autoproducteur de chaleur et d'électricité combinées
GHP 	Production brute de chaleur
GHP_MAPCHP 	Production brute de chaleur - producteur dont l'activité principale est la cogénération de chaleur et d'électricité
GHP_MAPH 	Production brute de chaleur - producteur dont l'activité principale est la production de chaleur uniquement
GHP_APCHP 	Production brute de chaleur - autoproducteur de chaleur et d'électricité combinées
GHP_APH 	Production brute de chaleur - autoproducteur de chaleur uniquement 
