id	pays_id	annee	quantite_tep
227	12	2014	23968.164
228	13	2014	49166.532
229	14	2014	1165.335
230	15	2014	24003.912999999997
231	16	2014	374.026
232	17	2014	441.91
233	18	2014	357.19199999999995
234	19	2014	254.942
235	20	2014	2523.469
236	21	2014	193.02599999999998
237	22	2014	8874.666
238	23	2014	5625.578
239	24	2014	13664.383999999998
240	25	2014	4539.682
241	26	2014	5647.001
242	27	2014	1499.376
243	28	2014	2345.916
244	29	2014	5830.054
245	30	2014	13212.59
246	31	2014	29071.424
247	32	2014	1558.2820000000002
248	33	2014	12180.31
249	34	2014	272.79900000000004
250	35	2014	462.05199999999996
251	36	2014	406.22900000000004
252	37	2014	2928.633
253	38	2014	21635.818
254	39	2014	1463.715
255	40	2014	467.444
256	41	2014	82.844
257	42	2014	15719.57
258	43	2014	891.7739999999999
259	1	2015	249554.19100000002
260	2	2015	278624.39
261	3	2015	198230.875
262	4	2015	5963.474
263	5	2015	4230.655
264	6	2015	7206.351
265	7	2015	2488.446
266	8	2015	55587.617999999995
267	9	2015	895.666
268	10	2015	2441.155
269	11	2015	4460.396
270	12	2015	24135.477000000003
271	13	2015	49769.935
272	14	2015	980.428
273	15	2015	24281.691000000003
274	16	2015	389.918
275	17	2015	475.85699999999997
276	18	2015	401.523
277	19	2015	237.84
278	20	2015	2605.143
279	21	2015	112.18299999999999
280	22	2015	9478.075
281	23	2015	5613.46
282	24	2015	14172.768
283	25	2015	4506.58
284	26	2015	5700.338000000001
285	27	2015	1298.3339999999998
286	28	2015	2304.643
287	29	2015	5877.05
288	30	2015	13939.187
289	31	2015	29070.199
290	32	2015	1616.394
291	33	2015	12400.0
292	34	2015	258.212
293	35	2015	485.45
294	36	2015	506.879
295	37	2015	3293.035
296	38	2015	22466.715
297	39	2015	1413.414
298	40	2015	526.164
299	41	2015	80.646
300	42	2015	14033.826000000001
301	43	2015	931.45
302	1	2016	251385.363
303	2	2016	280429.187
304	3	2016	200540.855
305	4	2016	7333.482
306	5	2016	3890.26
307	6	2016	7155.1230000000005
308	7	2016	2625.83
309	8	2016	55766.208
310	9	2016	1047.78
311	10	2016	2623.6420000000003
312	11	2016	4680.82
313	12	2016	23616.962000000003
314	13	2016	48462.53400000001
315	14	2016	1102.305
316	15	2016	24852.308999999997
317	16	2016	420.26300000000003
318	17	2016	552.501
319	18	2016	343.66900000000004
320	19	2016	188.958
321	20	2016	2736.3309999999997
322	21	2016	73.696
323	22	2016	9894.607
324	23	2016	5872.144
325	24	2016	14322.391000000001
326	25	2016	5187.287
327	26	2016	5597.854
328	27	2016	1418.905
329	28	2016	2315.907
330	29	2016	5889.181
331	30	2016	13414.413999999999
332	31	2016	29043.824
333	32	2016	1594.934
334	33	2016	12788.822
335	34	2016	270.094
336	35	2016	484.05
337	36	2016	669.1060000000001
338	37	2016	3382.803
339	38	2016	23533.462000000003
340	39	2016	1527.6529999999998
341	40	2016	514.317
342	41	2016	77.88600000000001
343	42	2016	14143.818000000001
344	43	2016	995.206
345	1	2017	254161.138
346	2	2017	283060.838
347	3	2017	201942.44
348	4	2017	7413.981
349	5	2017	3919.07
350	6	2017	7476.084
351	7	2017	2669.1079999999997
352	8	2017	56063.801
353	9	2017	1110.704
354	10	2017	2654.5809999999997
355	11	2017	4752.028
356	12	2017	23700.343999999997
357	13	2017	48255.417
358	14	2017	1030.396
359	15	2017	25379.967
360	16	2017	430.298
361	17	2017	647.566
362	18	2017	338.527
363	19	2017	192.188
364	20	2017	2820.55
365	21	2017	142.025
366	22	2017	10071.975
367	23	2017	6131.72
368	24	2017	14652.069
369	25	2017	5110.208
370	26	2017	5528.463000000001
371	27	2017	1403.8029999999999
372	28	2017	2371.7110000000002
373	29	2017	5771.596
374	30	2017	14122.958
375	31	2017	28899.7
376	32	2017	1654.2160000000001
377	33	2017	12825.107
378	34	2017	213.482
379	35	2017	481.53
380	36	2017	389.181
381	37	2017	3185.328
382	38	2017	25488.322999999997
383	39	2017	1413.414
384	40	2017	508.885
385	41	2017	77.042
386	42	2017	13412.752
387	43	2017	991.505
388	1	2018	252920.496
389	2	2018	281359.24199999997
