GEO,NRG_BAL,SIEC,UNIT\TIME	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018
Islande,Production brute d'électricité,Total,Milliers de tonnes équivalent pétrole (TEP)	1.447,550	1.466,845	1.479,820	1.508,949	1.557,662	1.558,282	1.616,394	1.594,934	1.654,216	1.705,052
Norvège,Production brute d'électricité,Total,Milliers de tonnes équivalent pétrole (TEP)	11.323,990	10.620,292	10.961,393	12.694,153	11.506,277	12.180,310	12.400,000	12.788,822	12.825,107	12.601,582
Monténégro,Production brute d'électricité,Total,Milliers de tonnes équivalent pétrole (TEP)	237,317	345,830	228,362	244,547	339,223	272,799	258,212	270,094	213,482	327,661
Macédoine du Nord,Production brute d'électricité,Total,Milliers de tonnes équivalent pétrole (TEP)	587,132	624,290	581,195	538,401	523,991	462,052	485,450	484,050	481,530	482,130
Albanie,Production brute d'électricité,Total,Milliers de tonnes équivalent pétrole (TEP)	447,291	650,731	360,361	406,277	598,366	406,229	506,879	669,106	389,181	735,467
Serbie,Production brute d'électricité,Total,Milliers de tonnes équivalent pétrole (TEP)	3.295,099	3.276,268	3.319,003	3.164,144	3.428,805	2.928,633	3.293,035	3.382,803	3.185,328	3.218,035
Turquie,Production brute d'électricité,Total,Milliers de tonnes équivalent pétrole (TEP)	16.744,269	18.151,107	19.715,315	20.583,378	20.625,614	21.635,818	22.466,715	23.533,462	25.488,323	26.126,541
Bosnie-Herzégovine,Production brute d'électricité,Total,Milliers de tonnes équivalent pétrole (TEP)	:	:	:	:	:	1.463,715	1.413,414	1.527,653	1.413,414	1.647,463
Kosovo (selon la résolution 1244/99 du Conseil de sécurité des Nations Unies),Production brute d'électricité,Total,Milliers de tonnes équivalent pétrole (TEP)	427,859	444,368	498,788	510,970	561,075	467,444	526,164	514,317	508,885	508,617
Moldavie,Production brute d'électricité,Total,Milliers de tonnes équivalent pétrole (TEP)	0,000	91,488	87,360	80,128	77,816	82,844	80,646	77,886	77,042	82,029
Ukraine,Production brute d'électricité,Total,Milliers de tonnes équivalent pétrole (TEP)	14.928,521	16.236,285	16.762,468	17.100,447	16.713,396	15.719,570	14.033,826	14.143,818	13.412,752	13.741,531
Géorgie,Production brute d'électricité,Total,Milliers de tonnes équivalent pétrole (TEP)	:	:	:	:	864,936	891,774	931,450	995,206	991,505	1.044,592
