GEO,NRG_BAL,SIEC,UNIT\TIME	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018
Suède,Énergie disponible brute,Total,Milliers de tonnes équivalent pétrole (TEP)	47.197,086	52.666,223	52.643,657	52.549,645	51.520,695	51.093,786	48.911,059	51.143,369	52.693,154	52.625,005
Royaume-Uni,Énergie disponible brute,Total,Milliers de tonnes équivalent pétrole (TEP)	207.308,898	215.795,147	200.886,424	204.604,187	201.320,840	190.352,358	193.461,934	190.518,317	188.151,474	187.591,135
Islande,Énergie disponible brute,Total,Milliers de tonnes équivalent pétrole (TEP)	5.889,863	5.602,154	6.000,012	5.864,082	6.091,041	6.089,260	5.870,848	5.662,737	6.047,250	6.653,716
Norvège,Énergie disponible brute,Total,Milliers de tonnes équivalent pétrole (TEP)	32.697,794	34.012,327	29.466,343	29.794,952	34.173,451	29.764,038	30.506,164	29.382,145	30.810,683	29.633,658
Monténégro,Énergie disponible brute,Total,Milliers de tonnes équivalent pétrole (TEP)	964,526	1.128,993	1.133,743	1.069,873	994,972	973,891	1.018,874	980,786	1.027,214	1.078,169
Macédoine du Nord,Énergie disponible brute,Total,Milliers de tonnes équivalent pétrole (TEP)	2.817,307	2.881,394	3.122,366	3.004,425	2.782,643	2.707,262	2.655,996	2.696,458	2.750,112	2.571,816
Albanie,Énergie disponible brute,Total,Milliers de tonnes équivalent pétrole (TEP)	2.171,270	2.152,188	2.245,308	2.023,108	2.385,743	2.375,779	2.219,641	2.306,396	2.407,999	2.384,925
Serbie,Énergie disponible brute,Total,Milliers de tonnes équivalent pétrole (TEP)	15.230,394	15.607,789	16.325,133	14.610,215	14.949,826	13.374,310	14.833,145	15.452,712	15.763,122	15.545,307
Turquie,Énergie disponible brute,Total,Milliers de tonnes équivalent pétrole (TEP)	99.994,547	105.747,791	112.994,299	118.074,173	114.935,521	123.323,042	133.212,511	140.524,909	151.300,183	149.044,158
Bosnie-Herzégovine,Énergie disponible brute,Total,Milliers de tonnes équivalent pétrole (TEP)	:	:	:	:	:	6.002,622	6.183,064	6.767,126	6.754,465	7.478,331
Kosovo (selon la résolution 1244/99 du Conseil de sécurité des Nations Unies),Énergie disponible brute,Total,Milliers de tonnes équivalent pétrole (TEP)	2.458,744	2.516,715	2.540,771	2.383,784	2.312,354	2.217,180	2.524,380	2.703,587	2.568,576	2.584,929
Moldavie,Énergie disponible brute,Total,Milliers de tonnes équivalent pétrole (TEP)	108,969	2.547,937	2.595,567	2.542,586	2.570,139	2.598,084	2.607,676	2.708,175	2.850,473	3.006,848
Ukraine,Énergie disponible brute,Total,Milliers de tonnes équivalent pétrole (TEP)	114.624,852	132.572,876	126.644,010	122.650,314	116.114,105	105.654,063	92.898,570	94.364,111	89.767,891	93.851,206
Géorgie,Énergie disponible brute,Total,Milliers de tonnes équivalent pétrole (TEP)	:	:	:	:	4.248,111	4.522,765	4.761,584	4.920,516	4.991,616	4.958,421
Union européenne - 27 pays (à partir de 2020),Énergie disponible brute,Combustibles fossiles solides,Milliers de tonnes équivalent pétrole (TEP)	231.679,642	245.080,876	250.530,239	248.790,224	244.950,895	232.663,828	233.806,139	224.739,165	218.879,488	210.257,730
Union européenne - 28 pays (2013-2020),Énergie disponible brute,Combustibles fossiles solides,Milliers de tonnes équivalent pétrole (TEP)	260.829,210	276.954,746	281.419,222	288.116,144	281.884,007	262.251,908	258.476,055	237.147,156	228.800,196	218.369,968
Zone euro - 19 pays (à partir de 2015),Énergie disponible brute,Combustibles fossiles solides,Milliers de tonnes équivalent pétrole (TEP)	140.310,281	147.790,538	152.598,625	159.126,203	154.727,994	148.011,984	149.774,089	140.805,816	135.611,212	128.386,498
Belgique,Énergie disponible brute,Combustibles fossiles solides,Milliers de tonnes équivalent pétrole (TEP)	3.135,275	3.787,179	3.505,124	3.235,666	3.566,827	3.360,149	3.377,579	3.185,557	3.095,035	3.102,920
